filenum,kk,time kk,std rand,time srand,std hill,time shill,std simAnneal,time sanneal,part rand,time prand,part hill,time phill,part simAnneal,time psim
24,434789,0.000683069,41379379,2.451100111,120324545,0.603101969,285173819,0.647798777,87,34.13128901,169,29.76445389,193,29.71665406
25,175418,0.000653982,116083152,2.315867901,291098816,0.576647043,71794636,0.620522022,90,34.28014898,416,29.66210699,344,29.81928396
26,81705,0.000648022,834856537,2.322697878,214033307,0.58275795,71786285,0.635591984,175,34.16776896,143,29.73474813,509,29.73035502
27,462626,0.000658035,150574444,2.328181028,159709426,0.599441051,118378652,0.635190964,178,38.60431385,268,30.36826992,600,30.03499889
28,39752,0.000486851,507204784,2.225701809,25637118,0.550525904,20026800,0.610671997,58,34.29985309,96,37.00434709,0,35.05164886
29,373017,0.000967026,949387511,2.82249403,319675835,0.595160007,212568533,0.699093103,119,36.74875307,35,34.90394115,749,29.73680902
30,36895,0.000669956,301284195,2.314927101,233061373,0.587384939,251247675,0.644733906,19,34.06933999,17,29.71148586,93,29.82992601
31,85635,0.000642061,781117597,2.330348015,562594265,0.58434391,317885505,0.640757084,141,34.23004985,295,29.69455099,21,29.75750589
32,122149,0.000494957,129888505,2.319944143,593053937,0.59949398,1129386785,0.642673016,3,34.08693695,11,29.70912719,167,29.70941901
33,51332,0.000654936,176540754,2.337393999,217729166,0.598923922,277434104,0.625998974,6,34.31623816,64,29.92195415,98,29.98528099
34,72582,0.000650883,354545816,2.326424837,404445878,0.579452991,19362064,0.622108936,196,34.04564905,448,29.597296,30,29.67364216
35,45794,0.000659943,719255520,2.321512222,146706396,0.598495007,146488454,0.631186962,76,34.08316207,76,29.67729712,34,30.16456079
36,60564,0.000643969,158282016,2.319966078,8694612,0.583126068,885404140,0.634533882,14,34.13344908,472,29.798177,630,29.781914
37,123410,0.000560045,60696644,2.31043601,18764360,0.584142923,509112178,0.633647919,28,34.12185812,242,29.67800117,98,29.702245
38,344392,0.000652075,830331356,2.326663971,146046770,0.587150097,48603846,0.637373924,16,34.04550695,6,29.7341249,114,29.77617002
39,55442,0.000495911,145078598,2.310391903,601221226,0.584604025,1035938642,0.624875784,62,34.18201494,2,29.66789103,546,29.77685285
40,61293,0.000638008,59292209,2.338515997,1339877987,0.585937977,1269310643,0.631452084,53,34.10652494,171,29.78235292,43,29.74955606
41,13920,0.000643015,205845546,2.322757959,567458020,0.593579054,223541646,0.644482851,488,34.10324097,134,29.65692306,536,30.10318899
42,112449,0.000490904,160014159,2.447348833,13042251,0.615819931,434615919,0.670948029,443,37.50878882,147,33.04401994,155,33.05158687
43,39631,0.000678062,202581169,2.465085983,58515499,0.616755962,71937109,0.668678999,65,37.32928109,137,32.96818018,1023,33.01652908
44,80061,0.000595093,27344049,2.481054068,171766335,0.632282019,298181455,0.665405989,217,37.40088606,111,33.03968191,237,32.96507502
45,195839,0.000663996,958392945,2.46427083,51980953,0.617004156,11172205,0.669313908,29,37.37732911,149,33.11693001,171,33.04985499
46,19593,0.000663996,97166345,2.442988873,111135623,0.607999086,8559973,0.660389185,573,36.53223515,13,29.84143615,335,29.720438
47,27316,0.00065589,109633566,2.336544991,227871746,0.586212873,141258732,0.637022972,32,34.08188391,1404,29.69094706,10,29.74291015
48,348913,0.000648975,119679163,2.328891039,29140597,0.582792997,81666883,0.640372992,593,34.11552,47,29.76423192,37,29.78612995
49,1631249,0.000555038,57481883,2.325538874,316425777,0.584813118,267494633,0.632332087,133,34.15994787,151,29.80433393,99,29.74930692
